Player,Pick,DraftYear,PeakSalary,PeakSalaryPercent,StarContract,max_salary_year,MP_pg_Y1,PTS_Y1,TRB_Y1,AST_Y1,STL_Y1,BLK_Y1,TOV_Y1,FG%_Y1,3P%_Y1,FT%_Y1,eFG%_Y1,TS%_Y1,TRB%_Y1,AST%_Y1,STL%_Y1,BLK%_Y1,PER_Y1,BPM_Y1,VORP_Y1,WS_Y1,WS/48_Y1,USG%_Y1,MP_pg_Y2,PTS_Y2,TRB_Y2,AST_Y2,STL_Y2,BLK_Y2,TOV_Y2,FG%_Y2,3P%_Y2,FT%_Y2,eFG%_Y2,TS%_Y2,TRB%_Y2,AST%_Y2,STL%_Y2,BLK%_Y2,PER_Y2,BPM_Y2,VORP_Y2,WS_Y2,WS/48_Y2,USG%_Y2,MP_pg_jump_1_2,PTS_jump_1_2,TRB_jump_1_2,AST_jump_1_2,STL_jump_1_2,BLK_jump_1_2,TOV_jump_1_2,FG%_jump_1_2,3P%_jump_1_2,FT%_jump_1_2,eFG%_jump_1_2,TS%_jump_1_2,TRB%_jump_1_2,AST%_jump_1_2,STL%_jump_1_2,BLK%_jump_1_2,PER_jump_1_2,BPM_jump_1_2,VORP_jump_1_2,WS_jump_1_2,WS/48_jump_1_2,USG%_jump_1_2
Jamison Brewer,41,2001,720046.0,0.0145463838383838,0.0,2005.0,3.3,0.3,0.6,0.7,0.2,0.0,0.2,0.4,0.0,0.0,0.4,0.4,10.5,30.3,2.4,0.0,10.0,-1.0,0.0,0.0,0.052,8.4,8.0,2.2,0.9,1.8,0.2,0.1,0.6,0.529,0.0,0.444,0.529,0.525,6.3,36.4,1.3,0.9,13.4,-0.9,0.0,0.2,0.106,15.2,1.9000000000000001,1.9,0.3,1.1,0.0,0.1,0.39999999999999997,0.129,0.0,0.444,0.129,0.125,-4.2,6.099999999999998,-1.0999999999999999,0.9,3.4000000000000004,0.0999999999999999,0.0,0.2,0.054,6.799999999999999
Jared Cunningham,24,2012,1208400.0,0.019161182906525,0.0,2014.0,3.3,2.0,0.4,0.1,0.1,0.0,0.3,0.429,0.667,1.0,0.5,0.538,6.4,6.8,2.0,0.0,14.8,-1.5,0.0,0.0,0.033,29.6,6.2,2.0,0.5,0.6,0.2,0.0,0.2,0.286,0.143,0.813,0.31,0.464,4.3,14.4,1.9,0.0,8.5,-4.1,0.0,0.1,0.075,16.6,0.0,0.0,0.0999999999999999,0.5,0.1,0.0,-0.09999999999999998,-0.14300000000000002,-0.524,-0.18700000000000006,-0.19,-0.07400000000000001,-2.1000000000000005,7.6000000000000005,-0.10000000000000009,0.0,-6.300000000000001,-2.6,0.0,0.1,0.041999999999999996,-13.0
Jared Dudley,22,2007,10470000.0,0.1056583209712088,0.0,2017.0,19.0,5.8,3.9,1.1,0.8,0.1,0.7,0.468,0.22,0.737,0.481,0.528,11.9,9.3,2.1,0.5,13.6,-0.7,0.4,2.9,0.1,14.9,17.0,5.5,3.0,0.8,0.8,0.1,0.6,0.477,0.392,0.676,0.528,0.562,10.5,7.1,2.5,0.5,13.5,0.2,0.7,2.7,0.114,14.6,-0.2999999999999998,-0.2999999999999998,-0.8999999999999999,-0.3,0.0,0.0,-0.09999999999999998,0.008999999999999952,0.17200000000000001,-0.06099999999999994,0.04700000000000004,0.03400000000000003,-1.4000000000000004,-2.200000000000001,0.3999999999999999,0.0,-0.0999999999999996,0.8999999999999999,0.29999999999999993,-0.1999999999999997,0.013999999999999999,-0.3000000000000007
Jared Jeffries,11,2002,6883800.0,0.1185962373371924,0.0,2011.0,14.6,4.0,2.9,0.8,0.4,0.3,1.1,0.476,0.5,0.552,0.5,0.521,11.7,9.0,1.5,1.3,11.1,-2.3,0.0,0.3,0.049,15.6,23.3,5.7,5.2,1.1,0.6,0.3,1.3,0.377,0.167,0.614,0.383,0.426,12.4,8.1,1.3,1.1,8.7,-4.6,-1.2,0.6,0.014,15.1,1.7000000000000002,1.7000000000000002,2.3000000000000003,0.3,0.19999999999999996,0.0,0.19999999999999996,-0.09899999999999998,-0.33299999999999996,0.061999999999999944,-0.11699999999999999,-0.09500000000000003,0.7000000000000011,-0.9000000000000004,-0.19999999999999996,-0.19999999999999996,-2.4000000000000004,-2.3,-1.2,0.3,-0.035,-0.5
Jared Sullinger,21,2012,5628000.0,0.0567951318458417,0.0,2017.0,19.8,6.0,5.9,0.8,0.5,0.5,0.6,0.493,0.2,0.746,0.496,0.534,17.5,6.2,1.3,1.9,13.5,-1.9,0.0,2.7,0.146,14.9,27.6,13.3,8.1,1.6,0.5,0.7,1.6,0.427,0.269,0.778,0.458,0.497,16.7,10.1,0.9,1.8,16.4,-1.4,0.3,3.9,0.091,24.1,7.300000000000001,7.300000000000001,2.1999999999999997,0.8,0.0,0.19999999999999996,1.0,-0.066,0.069,0.03200000000000003,-0.03799999999999998,-0.03700000000000003,-0.8000000000000007,3.8999999999999995,-0.4,-0.09999999999999987,2.8999999999999986,0.5,0.3,1.1999999999999995,-0.05499999999999999,9.2
Jarell Martin,25,2015,2416222.0,0.0221387392340113,0.0,2019.0,14.1,5.7,3.2,0.6,0.3,0.3,0.7,0.466,0.0,0.726,0.466,0.534,12.9,6.4,1.1,1.7,14.0,-3.7,-0.2,0.8,0.1,19.2,13.3,3.9,3.9,0.2,0.4,0.2,0.7,0.384,0.36,0.8,0.414,0.477,16.6,2.2,1.6,1.5,8.7,-5.8,-0.5,0.6,0.054,16.4,-1.8000000000000003,-1.8000000000000005,0.6999999999999997,-0.3999999999999999,0.10000000000000003,-0.09999999999999998,0.0,-0.08200000000000002,0.36,0.07400000000000007,-0.052000000000000046,-0.05700000000000005,3.700000000000001,-4.2,0.5,-0.19999999999999996,-5.300000000000001,-2.1,-0.3,-0.2,-0.046000000000000006,-2.8000000000000007
Jarnell Stokes,35,2014,845059.0,0.0089763338750624,0.0,2016.0,6.6,3.0,1.8,0.2,0.3,0.3,0.4,0.568,0.0,0.536,0.568,0.578,15.4,5.2,2.1,3.3,18.6,-1.1,0.0,0.5,0.186,20.5,2.6,1.0,0.6,0.1,0.1,0.0,0.0,0.6,0.0,0.5,0.6,0.595,12.6,9.6,2.8,0.0,20.0,2.0,0.0,0.1,0.209,14.9,-2.0,-2.0,-1.2000000000000002,-0.1,-0.19999999999999998,-0.3,-0.4,0.03200000000000003,0.0,-0.03600000000000003,0.03200000000000003,0.017000000000000015,-2.8000000000000007,4.3999999999999995,0.6999999999999997,-3.3,1.3999999999999986,3.1,0.0,-0.4,0.022999999999999993,-5.6
Jarrett Jack,22,2005,6300000.0,0.09,0.0,2015.0,20.2,6.7,2.0,2.8,0.5,0.0,1.3,0.442,0.263,0.8,0.465,0.528,6.0,23.2,1.4,0.1,12.3,-3.1,-0.4,1.2,0.035,17.8,33.6,12.0,2.6,5.3,1.1,0.1,2.4,0.454,0.35,0.871,0.499,0.571,4.9,26.2,1.8,0.3,14.5,-0.7,0.9,4.8,0.087,18.0,5.3,5.3,0.6000000000000001,2.5,0.6000000000000001,0.1,1.0999999999999999,0.01200000000000001,0.08699999999999997,0.07099999999999995,0.033999999999999975,0.04299999999999993,-1.0999999999999996,3.0,0.40000000000000013,0.19999999999999998,2.1999999999999997,2.4000000000000004,1.3,3.6,0.05199999999999999,0.1999999999999993
Jarron Collins,53,2001,2625698.0,0.0471993169153334,0.0,2007.0,20.6,6.4,4.2,0.8,0.4,0.3,0.8,0.461,0.0,0.74,0.461,0.532,12.4,6.6,1.1,1.2,11.5,-3.3,-0.5,3.3,0.111,15.0,19.1,5.5,2.7,0.6,0.2,0.3,0.9,0.442,0.0,0.71,0.442,0.53,8.6,5.2,0.6,1.1,8.2,-4.0,-0.2,0.7,0.078,14.5,-0.9000000000000004,-0.9000000000000004,-1.5,-0.2,-0.2,0.0,0.09999999999999998,-0.019000000000000017,0.0,-0.030000000000000027,-0.019000000000000017,-0.0020000000000000018,-3.8000000000000007,-1.3999999999999995,-0.5000000000000001,-0.09999999999999987,-3.3000000000000007,-0.7000000000000002,0.3,-2.6,-0.033,-0.5
Jarvis Hayes,10,2003,1748760.0,0.0398623204923638,0.0,2004.0,29.2,9.6,3.8,1.5,1.0,0.2,1.6,0.4,0.305,0.786,0.429,0.456,7.2,9.3,1.8,0.4,9.4,-4.0,-1.1,0.5,0.012,18.4,28.9,10.2,4.2,1.7,0.9,0.2,1.1,0.389,0.341,0.839,0.428,0.475,8.2,9.3,1.6,0.4,11.1,-2.6,-0.2,1.7,0.051,18.0,0.5999999999999996,0.5999999999999996,0.4000000000000003,0.1999999999999999,-0.09999999999999998,0.0,-0.5,-0.01100000000000001,0.03600000000000003,0.052999999999999936,-0.0010000000000000009,0.01899999999999996,0.9999999999999991,0.0,-0.19999999999999996,0.0,1.6999999999999993,1.4,0.9000000000000001,1.2,0.03899999999999999,-0.3999999999999986
